"Country","BiomeName","ForestArea","BurnedArea","Slope","Pvalue","ForestArea2","BurnedArea2","BurnedAreaPC","BurnedPY","BurnedPYPC","pcSlope"
"Europe","Mediterranean Forests, Woodlands, and Scrub",40725925,2867318.75,-3259.55882352941,0.197801027037801,40725.925,2867.31875,7.04052455530476,159.295486111111,0.391140253072487,-2.04623426758987
"Europe","Temperate Broadleaf and Mixed Forests",52382275,1672875,-745.833333333333,0.704853461217842,52382.275,1672.875,3.19358981640259,92.9375,0.177421656466811,-0.802510647836808
"Europe","Total",93108200,4540193.75,-5862.5,0.288882804027164,93108.2,4540.19375,4.87625552851414,252.232986111111,0.270903084917452,-2.32424001729001
"Russia","Boreal Forests/Taiga",727751887.5,60633987.5,71883.75,0.324712384363857,727751.8875,60633.9875,8.33168399030775,3368.55486111111,0.462871332794875,2.13396405769949
"Russia","Montane Grasslands and Shrublands",3822131.25,54075,-94.5833333333333,0.544486056825911,3822.13125,54.075,1.41478658013118,3.00416666666667,0.078599254451732,-3.14840499306519
"Russia","Temperate Broadleaf and Mixed Forests",102019343.8,26159656.25,-21111.4583333333,0.544486056825911,102019.3438,26159.65625,25.641858960869,1453.31423611111,1.42454772004828,-1.45264236795925
"Russia","Temperate Coniferous Forests",35375125,6409475,9882.21153846154,0.288882804027164,35375.125,6409.475,18.1185932205187,356.081944444444,1.00658851225104,2.77526330459683
"Russia","Temperate Grasslands, Savannas, and Shrublands",35582018.75,12091681.25,-20771.0227272727,0.324712384363857,35582.01875,12091.68125,33.9825610653415,671.760069444444,1.88792005918564,-3.09202997797274
"Russia","Total",904550506.3,105348875,38103.125,0.761873394777985,904550.5063,105348.875,11.64654425223,5852.71527777778,0.647030236235,0.651033292951633
"USA","Boreal Forests/Taiga",39338043.75,4642000,-1238.63636363636,0.939613698235622,39338.04375,4642,11.8002817565121,257.888888888889,0.655571208695117,-0.480298460694842
"USA","Mediterranean Forests, Woodlands, and Scrub",4153625,1423018.75,4837.5,0.225479297447916,4153.625,1423.01875,34.2596828071865,79.0565972222222,1.90331571151036,6.11903391996767
"USA","Temperate Broadleaf and Mixed Forests",161084768.8,2409881.25,623.611111111111,0.649445669217466,161084.7688,2409.88125,1.4960329694436,133.882291666667,0.0831129427468667,0.465790586154401
"USA","Temperate Coniferous Forests",106782793.8,11422350,24678.75,0.0582402695915614,106782.7938,11422.35,10.6968075974802,634.575,0.594267088748899,3.88902021037702
"USA","Temperate Grasslands, Savannas, and Shrublands",25800031.25,1633050,3204.46428571429,0.225479297447916,25800.03125,1633.05,6.32964349607135,90.725,0.351646860892853,3.53206314214856
"USA","Total",337159262.6,21530300,5090.17857142857,0.761873394777985,337159.2626,21530.3,6.38579519778556,1196.12777777778,0.354766399876975,0.425554749751347
"zNA","Boreal Forests/Taiga",1129646362.55,92341056.25,70666.25,0.324712384363857,1129646.36255,92341.05625,8.1743330754905,5130.05868055555,0.454129615305028,1.3774939898416
"zNA","Mediterranean Forests, Woodlands, and Scrub",60491731.25,9683950,-415.625,1,60491.73125,9683.95,16.0087168938482,537.997222222222,0.889373160769344,-0.0772541163471517
"zNA","Montane Grasslands and Shrublands",10953425,967568.75,-153.571428571429,0.595912394811716,10953.425,967.56875,8.83348130835789,53.7538194444444,0.490748961575438,-0.28569398446216
"zNA","Temperate Broadleaf and Mixed Forests",490212325.1,41226125,-46670.3125,0.288882804027164,490212.3251,41226.125,8.4098507706003,2290.34027777778,0.467213931700017,-2.037702124563
"zNA","Temperate Coniferous Forests",236539781.3,22236868.75,53668.75,0.0690443198477513,236539.7813,22236.86875,9.40090019014489,1235.38159722222,0.522272232785827,4.34430544543282
"zNA","Temperate Grasslands, Savannas, and Shrublands",82810543.75,14742887.5,-13588.75,0.448718015619145,82810.54375,14742.8875,17.8031526329641,819.049305555556,0.989064035164671,-1.65908815352488
"zzNA","zzNA",2010654168.95,181198456.25,152706.25,0.288882804027164,2010654.16895,181198.45625,9.01191557694007,10066.5809027778,0.500661976496671,1.51696242721163
